date,rain
28/09/2014,0.0
29/09/2014,7.399997
30/09/2014,0.4
01/10/2014,0.0
02/10/2014,0.0
03/10/2014,0.0
04/10/2014,2.8
05/10/2014,0.0
06/10/2014,6.199998
07/10/2014,3.200001
08/10/2014,6.199998
09/10/2014,0.2
10/10/2014,0.2
11/10/2014,4.6
12/10/2014,0.8
13/10/2014,3.600001
14/10/2014,0.8
15/10/2014,4.2
16/10/2014,5.599999
17/10/2014,1.8
18/10/2014,0.6
19/10/2014,0.8
20/10/2014,0.6
21/10/2014,3.800001
22/10/2014,1.2
23/10/2014,0.0
24/10/2014,0.0
25/10/2014,0.0
26/10/2014,0.2
27/10/2014,0.0
28/10/2014,0.2
29/10/2014,0.0
30/10/2014,4.0
31/10/2014,0.0
01/11/2014,0.0
02/11/2014,1.2
03/11/2014,0.0
04/11/2014,0.2
05/11/2014,0.2
06/11/2014,0.0
07/11/2014,20.0
08/11/2014,4.2
09/11/2014,0.0
10/11/2014,0.2
11/11/2014,6.199998
12/11/2014,3.200001
13/11/2014,0.2
14/11/2014,10.39999
15/11/2014,0.2
16/11/2014,2.4
17/11/2014,5.599999
18/11/2014,2.6
19/11/2014,0.2
20/11/2014,0.0
21/11/2014,10.99999
22/11/2014,4.0
23/11/2014,2.0
24/11/2014,0.0
25/11/2014,0.2
26/11/2014,2.2
27/11/2014,2.0
28/11/2014,0.6
29/11/2014,2.6
30/11/2014,0.0
01/12/2014,0.2
02/12/2014,0.0
03/12/2014,0.0
04/12/2014,0.2
05/12/2014,0.0
06/12/2014,0.2
07/12/2014,1.2
08/12/2014,3.200001
09/12/2014,0.2
10/12/2014,9.399996
11/12/2014,9.399996
12/12/2014,5.599999
13/12/2014,0.6
14/12/2014,1.4
15/12/2014,1.8
16/12/2014,4.6
17/12/2014,0.8
18/12/2014,2.4
19/12/2014,2.4
20/12/2014,0.0
21/12/2014,0.0
22/12/2014,1.2
23/12/2014,0.6
24/12/2014,0.4
25/12/2014,0.0
26/12/2014,9.199996
27/12/2014,4.2
28/12/2014,0.4
29/12/2014,0.2
30/12/2014,0.2
31/12/2014,0.2
01/01/2015,0.4
02/01/2015,0.2
03/01/2015,2.2
04/01/2015,0.2
05/01/2015,0.2
06/01/2015,0.2
07/01/2015,0.6
08/01/2015,0.0
09/01/2015,0.6
10/01/2015,1.8
11/01/2015,1.4
12/01/2015,2.2
13/01/2015,0.0
14/01/2015,0.2
15/01/2015,1.0
16/01/2015,3.400001
17/01/2015,5.199999
18/01/2015,1.6
19/01/2015,0.2
20/01/2015,0.0
21/01/2015,11.39999
22/01/2015,0.2
23/01/2015,0.2
24/01/2015,0.0
25/01/2015,0.0
26/01/2015,0.0
27/01/2015,0.2
28/01/2015,5.599999
29/01/2015,4.0
30/01/2015,0.0
31/01/2015,3.200001
01/02/2015,0.0
02/02/2015,0.0
03/02/2015,0.0
04/02/2015,0.0
05/02/2015,0.4
06/02/2015,0.2
07/02/2015,0.0
08/02/2015,0.0
09/02/2015,0.0
10/02/2015,0.2
11/02/2015,0.0
12/02/2015,0.0
13/02/2015,0.6
14/02/2015,1.2
15/02/2015,0.0
16/02/2015,2.2
17/02/2015,0.2
18/02/2015,0.0
19/02/2015,1.6
20/02/2015,0.2
